time_step,nb_neutrons,power_mw,temperature_k,rod_active,scram_triggered,pos_RE01,pos_SC01
43,81,335.99999999999994,426.0906412874545,True,False,92.30000000000013,100.0
44,77,527.9999999999999,430.7401880810172,True,False,92.12500000000013,100.0
45,77,335.99999999999994,433.44648714061213,True,False,91.95000000000013,100.0
46,86,479.99999999999994,437.5792547049091,True,False,91.77500000000013,100.0
47,79,527.9999999999999,442.17135843138453,True,False,91.60000000000014,100.0
48,77,384.0,445.3005016392276,True,False,91.42500000000014,100.0
49,80,671.9999999999999,451.29399913103146,True,False,91.25000000000014,100.0
50,81,479.99999999999994,455.3375291353763,True,False,91.07500000000014,100.0
51,87,671.9999999999999,461.2808414896994,True,False,90.90000000000015,100.0
52,91,576.0,466.2344372822509,True,False,90.72500000000015,100.0
53,95,624.0,471.64326509583964,True,False,90.55000000000015,100.0
54,105,768.0,478.46504877036045,True,False,90.37500000000016,100.0
55,99,576.0,483.33272352650863,True,False,90.20000000000016,100.0
56,90,576.0,488.1760599088761,True,False,90.02500000000016,100.0
57,89,576.0,492.99517960933173,True,False,89.85000000000016,100.0
58,81,527.9999999999999,497.31020371128506,True,False,89.67500000000017,100.0
59,89,431.99999999999994,500.6436526927286,True,False,89.50000000000017,100.0
60,93,527.9999999999999,504.92043442926496,True,False,89.32500000000017,100.0
61,87,576.0,509.6558322571186,True,False,89.15000000000018,100.0
62,89,479.99999999999994,513.407553095833,True,False,88.97500000000018,100.0
63,93,431.99999999999994,516.6605153303539,True,False,88.80000000000018,100.0
64,92,624.0,521.817212753702,True,False,88.62500000000018,100.0
65,95,624.0,526.9481266899336,True,False,88.45000000000019,100.0
66,102,576.0,531.573386056484,True,False,88.27500000000019,100.0
67,97,671.9999999999999,537.1355191262015,True,False,88.1000000000002,100.0
68,107,576.0,541.7098415305705,True,False,87.9250000000002,100.0
69,107,912.0,549.6212923229177,True,False,87.7500000000002,100.0
70,121,768.0,556.0531858613032,True,False,87.5750000000002,100.0
71,125,720.0,561.9729199319967,True,False,87.4000000000002,100.0
72,121,671.9999999999999,567.3830553323367,True,False,87.22500000000021,100.0
73,110,671.9999999999999,572.766140055675,True,False,87.05000000000021,100.0
74,105,624.0,577.6423093553966,True,False,86.87500000000021,100.0
75,101,624.0,582.4940978086196,True,False,86.70000000000022,100.0
76,96,576.0,586.8416273195764,True,False,86.52500000000022,100.0
77,110,768.0,593.0874191829786,True,False,86.35000000000022,100.0
78,115,720.0,598.8219820870637,True,False,86.17500000000022,100.0
79,109,815.9999999999999,605.4878721766283,True,False,86.00000000000023,100.0
80,119,624.0,610.2004328157452,True,False,85.82500000000023,100.0
81,125,720.0,615.8494306516665,True,False,85.65000000000023,100.0
82,133,1104.0,625.3101834984082,True,False,85.47500000000024,100.0
83,124,720.0,630.8836325809161,True,False,85.30000000000024,100.0
84,118,431.99999999999994,633.5492144180115,True,False,85.12500000000024,100.0
85,133,671.9999999999999,638.6014683459215,True,False,84.95000000000024,100.0
86,160,863.9999999999999,645.5484610041918,True,False,84.77500000000025,100.0
87,155,1055.9999999999998,654.3807186991709,True,False,84.60000000000025,100.0
88,149,912.0,661.728815105675,True,False,84.42500000000025,100.0
89,140,815.9999999999999,668.0801710301466,True,False,84.25000000000026,100.0
90,139,815.9999999999999,674.3997701749959,True,False,84.07500000000026,100.0
91,152,959.9999999999999,682.1277713241209,True,False,83.90000000000026,100.0
92,140,912.0,689.3371324675003,True,False,83.72500000000026,100.0
93,126,768.0,695.0704468051628,True,False,83.55000000000027,100.0
